resident_id,address,latitude,longitude,geocode_status
P0001,架空住所0001,26.089191,127.672831,matched
P0002,架空住所0002,26.082863,127.664987,matched
P0003,架空住所0003,26.093654,127.642715,matched
P0004,架空住所0004,26.113601,127.705325,matched
P0005,架空住所0005,26.127090,127.703378,matched
P0006,架空住所0006,26.125481,127.731377,matched
P0007,架空住所0007,26.137450,127.705130,matched
P0008,架空住所0008,26.159344,127.675806,matched
P0009,架空住所0009,26.139154,127.707165,matched
P0010,架空住所0010,26.087678,127.730453,matched
P0011,架空住所0011,26.136350,127.659436,matched
P0012,架空住所0012,26.124287,127.745715,matched
P0013,架空住所0013,26.142697,127.641058,matched
P0014,架空住所0014,26.113936,127.657485,matched
P0015,架空住所0015,26.156926,127.651493,matched
P0016,架空住所0016,26.156607,127.722702,matched
P0017,架空住所0017,26.132881,127.742064,matched
P0018,架空住所0018,26.107592,127.684687,matched
P0019,架空住所0019,26.102248,127.748755,matched
P0020,架空住所0020,26.087540,127.676213,matched
P0021,架空住所0021,26.118266,127.726087,matched
P0022,架空住所0022,26.149975,127.718154,matched
P0023,架空住所0023,26.101719,127.645875,matched
P0024,架空住所0024,26.150513,127.658829,matched
P0025,架空住所0025,26.081676,127.637749,matched
P0026,架空住所0026,26.087515,127.706791,matched
P0027,架空住所0027,26.144493,127.682412,matched
P0028,架空住所0028,26.090730,127.697205,matched
P0029,架空住所0029,26.105449,127.674026,matched
P0030,架空住所0030,26.121344,127.662630,matched
P0031,架空住所0031,26.093222,127.690310,matched
P0032,架空住所0032,26.088054,127.666492,matched
P0033,架空住所0033,26.134336,127.655696,matched
P0034,架空住所0034,26.135839,127.704447,matched
P0035,架空住所0035,26.116260,127.659156,matched
P0036,架空住所0036,26.156978,127.634884,matched
P0037,架空住所0037,26.111556,127.701340,matched
P0038,架空住所0038,26.155808,127.742671,matched
P0039,架空住所0039,26.122183,127.736984,matched
P0040,架空住所0040,26.126116,127.661307,matched
P0041,架空住所0041,26.137844,127.666083,matched
P0042,架空住所0042,26.131840,127.737952,matched
P0043,架空住所0043,26.104074,127.662856,matched
P0044,架空住所0044,26.127469,127.742926,matched
P0045,架空住所0045,26.135295,127.721194,matched
P0046,架空住所0046,26.154724,127.663795,matched
P0047,架空住所0047,26.105824,127.697947,matched
P0048,架空住所0048,26.112143,127.748238,matched
P0049,架空住所0049,26.125583,127.644762,matched
P0050,架空住所0050,26.155108,127.671936,matched
P0051,架空住所0051,26.107680,127.651020,matched
P0052,架空住所0052,26.147049,127.674722,matched
P0053,架空住所0053,26.147246,127.690138,matched
P0054,架空住所0054,26.122873,127.646303,matched
P0055,架空住所0055,26.084375,127.679027,matched
P0056,架空住所0056,26.132555,127.654459,matched
P0057,架空住所0057,26.143244,127.655324,matched
P0058,架空住所0058,26.144266,127.705467,matched
P0059,架空住所0059,26.127675,127.660436,matched
P0060,架空住所0060,26.090998,127.729174,matched
P0061,架空住所0061,26.110896,127.655610,matched
P0062,架空住所0062,26.128733,127.660329,matched
P0063,架空住所0063,26.083817,127.708167,matched
P0064,架空住所0064,26.085699,127.689518,matched
P0065,架空住所0065,26.083464,127.666434,matched
P0066,架空住所0066,26.088652,127.672292,matched
P0067,架空住所0067,26.140656,127.656904,matched
P0068,架空住所0068,26.148033,127.639859,matched
P0069,架空住所0069,26.113764,127.723094,matched
P0070,架空住所0070,26.152575,127.702690,matched
P0071,架空住所0071,26.126383,127.655095,matched
P0072,架空住所0072,26.108061,127.689042,matched
P0073,架空住所0073,26.140945,127.634460,matched
P0074,架空住所0074,26.157762,127.684304,matched
P0075,架空住所0075,26.141269,127.646020,matched
P0076,架空住所0076,26.107956,127.686005,matched
P0077,架空住所0077,26.123388,127.727323,matched
P0078,架空住所0078,26.117916,127.694747,matched
P0079,架空住所0079,26.100902,127.723091,matched
P0080,架空住所0080,26.134620,127.679771,matched
P0081,架空住所0081,26.095235,127.732887,matched
P0082,架空住所0082,26.095298,127.721510,matched
P0083,架空住所0083,26.146598,127.683883,matched
P0084,架空住所0084,26.127106,127.677274,matched
P0085,架空住所0085,26.129395,127.719332,matched
P0086,架空住所0086,26.144530,127.666336,matched
P0087,架空住所0087,26.090733,127.640120,matched
P0088,架空住所0088,26.155339,127.637706,matched
P0089,架空住所0089,26.103071,127.664450,matched
P0090,架空住所0090,26.158189,127.717270,matched
P0091,架空住所0091,26.138735,127.634218,matched
P0092,架空住所0092,26.153946,127.704387,matched
P0093,架空住所0093,26.099035,127.638118,matched
P0094,架空住所0094,26.148308,127.713887,matched
P0095,架空住所0095,26.124404,127.681016,matched
P0096,架空住所0096,26.151662,127.659779,matched
P0097,架空住所0097,26.153619,127.722031,matched
P0098,架空住所0098,26.107991,127.658853,matched
P0099,架空住所0099,26.099671,127.737698,matched
P0100,架空住所0100,26.111683,127.744324,matched
P0101,架空住所0101,26.146271,127.696188,matched
P0102,架空住所0102,26.088349,127.696467,matched
P0103,架空住所0103,26.096766,127.714011,matched
P0104,架空住所0104,26.088970,127.717320,matched
P0105,架空住所0105,26.133617,127.743532,matched
P0106,架空住所0106,26.105288,127.698670,matched
P0107,架空住所0107,26.116041,127.668690,matched
P0108,架空住所0108,26.138383,127.679073,matched
P0109,架空住所0109,26.106476,127.652903,matched
P0110,架空住所0110,26.154066,127.719238,matched
P0111,架空住所0111,26.110080,127.677629,matched
P0112,架空住所0112,26.088845,127.671751,matched
P0113,架空住所0113,26.107205,127.745954,matched
P0114,架空住所0114,26.090442,127.656002,matched
P0115,架空住所0115,26.126194,127.677246,matched
P0116,架空住所0116,26.100611,127.694846,matched
P0117,架空住所0117,26.125412,127.676536,matched
P0118,架空住所0118,26.092012,127.684185,matched
P0119,架空住所0119,26.108905,127.650105,matched
P0120,架空住所0120,26.148297,127.747759,matched
P0121,架空住所0121,26.112475,127.662398,matched
P0122,架空住所0122,26.095725,127.662365,matched
P0123,架空住所0123,26.082176,127.634085,matched
P0124,架空住所0124,26.084766,127.661038,matched
P0125,架空住所0125,26.139261,127.748699,matched
P0126,架空住所0126,26.113883,127.703056,matched
P0127,架空住所0127,26.156815,127.684117,matched
P0128,架空住所0128,26.131712,127.680162,matched
P0129,架空住所0129,26.144945,127.747871,matched
P0130,架空住所0130,26.095012,127.666232,matched
P0131,架空住所0131,26.113122,127.745083,matched
P0132,架空住所0132,26.136252,127.673797,matched
P0133,架空住所0133,26.102044,127.698274,matched
P0134,架空住所0134,26.080620,127.711795,matched
P0135,架空住所0135,26.139319,127.666177,matched
P0136,架空住所0136,26.116833,127.646206,matched
P0137,架空住所0137,26.146250,127.639435,matched
P0138,架空住所0138,26.117707,127.711714,matched
P0139,架空住所0139,26.154628,127.684426,matched
P0140,架空住所0140,26.150402,127.695974,matched
P0141,架空住所0141,26.141610,127.694095,matched
P0142,架空住所0142,26.099186,127.740899,matched
P0143,架空住所0143,26.089879,127.738712,matched
P0144,架空住所0144,26.132783,127.667630,matched
P0145,架空住所0145,26.150371,127.658610,matched
P0146,架空住所0146,26.131845,127.659778,matched
P0147,架空住所0147,26.095756,127.677840,matched
P0148,架空住所0148,26.149435,127.691166,matched
P0149,架空住所0149,26.102060,127.654419,matched
P0150,架空住所0150,26.086893,127.638605,matched
P0151,架空住所0151,26.127827,127.682111,matched
P0152,架空住所0152,26.132295,127.640016,matched
P0153,架空住所0153,26.103297,127.676149,matched
P0154,架空住所0154,26.080231,127.630861,matched
P0155,架空住所0155,26.099428,127.699667,matched
P0156,架空住所0156,26.124469,127.641774,matched
P0157,架空住所0157,26.125894,127.745035,matched
P0158,架空住所0158,26.112176,127.747399,matched
P0159,架空住所0159,26.096104,127.731033,matched
P0160,架空住所0160,26.099409,127.645361,matched
P0161,架空住所0161,26.115651,127.695052,matched
P0162,架空住所0162,26.101507,127.630189,matched
P0163,架空住所0163,26.090312,127.706655,matched
P0164,架空住所0164,26.092157,127.741591,matched
P0165,架空住所0165,26.080909,127.683477,matched
P0166,架空住所0166,26.148360,127.735817,matched
P0167,架空住所0167,26.140116,127.691482,matched
P0168,架空住所0168,26.085938,127.639760,matched
P0169,架空住所0169,26.147262,127.666793,matched
P0170,架空住所0170,26.084182,127.687308,matched
P0171,架空住所0171,26.147807,127.661721,matched
P0172,架空住所0172,26.135642,127.662774,matched
