resident_id,address,latitude,longitude,geocode_status
P0001,架空住所0001,26.089191,127.729406,matched
P0002,架空住所0002,26.082863,127.642524,matched
P0003,架空住所0003,26.093654,127.655149,matched
P0004,架空住所0004,26.113601,127.643454,matched
P0005,架空住所0005,26.127090,127.710426,matched
P0006,架空住所0006,26.125481,127.667931,matched
P0007,架空住所0007,26.137450,127.684061,matched
P0008,架空住所0008,26.159344,127.717575,matched
P0009,架空住所0009,26.139154,127.669714,matched
P0010,架空住所0010,26.087678,127.741099,matched
P0011,架空住所0011,26.136350,127.675121,matched
P0012,架空住所0012,26.124287,127.643268,matched
P0013,架空住所0013,26.142697,127.670807,matched
P0014,架空住所0014,26.113936,127.645663,matched
P0015,架空住所0015,26.156926,127.699291,matched
P0016,架空住所0016,26.156607,127.660916,matched
P0017,架空住所0017,26.132881,127.698118,matched
P0018,架空住所0018,26.107592,127.648017,matched
P0019,架空住所0019,26.102248,127.673358,matched
P0020,架空住所0020,26.087540,127.732445,matched
P0021,架空住所0021,26.118266,127.678713,matched
P0022,架空住所0022,26.149975,127.653587,matched
P0023,架空住所0023,26.101719,127.633265,matched
P0024,架空住所0024,26.150513,127.637149,matched
P0025,架空住所0025,26.081676,127.718891,matched
P0026,架空住所0026,26.087515,127.680825,matched
P0027,架空住所0027,26.144493,127.745223,matched
P0028,架空住所0028,26.090730,127.707569,matched
P0029,架空住所0029,26.105449,127.727417,matched
P0030,架空住所0030,26.121344,127.652518,matched
P0031,架空住所0031,26.093222,127.679683,matched
P0032,架空住所0032,26.088054,127.714377,matched
P0033,架空住所0033,26.134336,127.663066,matched
P0034,架空住所0034,26.135839,127.630930,matched
P0035,架空住所0035,26.116260,127.718978,matched
P0036,架空住所0036,26.156978,127.685250,matched
P0037,架空住所0037,26.111556,127.729375,matched
P0038,架空住所0038,26.155808,127.686560,matched
P0039,架空住所0039,26.122183,127.741942,matched
P0040,架空住所0040,26.126116,127.735603,matched
P0041,架空住所0041,26.137844,127.722415,matched
P0042,架空住所0042,26.131840,127.658779,matched
P0043,架空住所0043,26.104074,127.644818,matched
P0044,架空住所0044,26.127469,127.709175,matched
P0045,架空住所0045,26.135295,127.735556,matched
P0046,架空住所0046,26.154724,127.707767,matched
P0047,架空住所0047,26.105824,127.653635,matched
P0048,架空住所0048,26.112143,127.734152,matched
P0049,架空住所0049,26.125583,127.663090,matched
P0050,架空住所0050,26.155108,127.640340,matched
P0051,架空住所0051,26.107680,127.701741,matched
P0052,架空住所0052,26.147049,127.708443,matched
P0053,架空住所0053,26.147246,127.664946,matched
P0054,架空住所0054,26.122873,127.630346,matched
P0055,架空住所0055,26.084375,127.659142,matched
P0056,架空住所0056,26.132555,127.696703,matched
P0057,架空住所0057,26.143244,127.698841,matched
P0058,架空住所0058,26.144266,127.678264,matched
P0059,架空住所0059,26.127675,127.654157,matched
P0060,架空住所0060,26.090998,127.659113,matched
P0061,架空住所0061,26.110896,127.683477,matched
P0062,架空住所0062,26.128733,127.662261,matched
P0063,架空住所0063,26.083817,127.645469,matched
P0064,架空住所0064,26.085699,127.648236,matched
P0065,架空住所0065,26.083464,127.631363,matched
P0066,架空住所0066,26.088652,127.732539,matched
P0067,架空住所0067,26.140656,127.720174,matched
P0068,架空住所0068,26.148033,127.638907,matched
P0069,架空住所0069,26.113764,127.730893,matched
P0070,架空住所0070,26.152575,127.636273,matched
P0071,架空住所0071,26.126383,127.731711,matched
P0072,架空住所0072,26.108061,127.713463,matched
P0073,架空住所0073,26.140945,127.670317,matched
P0074,架空住所0074,26.157762,127.738992,matched
P0075,架空住所0075,26.141269,127.689804,matched
P0076,架空住所0076,26.107956,127.640206,matched
P0077,架空住所0077,26.123388,127.665559,matched
P0078,架空住所0078,26.117916,127.635291,matched
P0079,架空住所0079,26.100902,127.738869,matched
P0080,架空住所0080,26.134620,127.708802,matched
P0081,架空住所0081,26.095235,127.727791,matched
P0082,架空住所0082,26.095298,127.678701,matched
P0083,架空住所0083,26.146598,127.716417,matched
P0084,架空住所0084,26.127106,127.696047,matched
P0085,架空住所0085,26.129395,127.718313,matched
P0086,架空住所0086,26.144530,127.637626,matched
P0087,架空住所0087,26.090733,127.684652,matched
P0088,架空住所0088,26.155339,127.664084,matched
P0089,架空住所0089,26.103071,127.727973,matched
P0090,架空住所0090,26.158189,127.722670,matched
P0091,架空住所0091,26.138735,127.636943,matched
P0092,架空住所0092,26.153946,127.671593,matched
P0093,架空住所0093,26.099035,127.698380,matched
P0094,架空住所0094,26.148308,127.709813,matched
P0095,架空住所0095,26.124404,127.668467,matched
P0096,架空住所0096,26.151662,127.637975,matched
P0097,架空住所0097,26.153619,181.000000,matched
P0098,架空住所0098,91.000000,127.730749,matched
P0099,架空住所0099,,,town_not_found
P0100,架空住所0100,,,town_not_found
